,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2,N2,O2,P2
A,0.377070546,0.263756114,0.286546892,0.236008553,0.178148605,0.197974771,-0.068047279,-0.051634927,0.022762873,-0.147518952,-0.08567569,-0.09530523,-0.142939823,0.016150159,0.091670471,0.081724739
B,0.255962228,0.413000234,0.235579596,0.11809576,0.264713205,0.293058542,-0.157800527,-0.14924656,-0.101909356,-0.114918463,-0.208944509,-0.07027928,-0.180837278,-0.042069384,0.129577085,0.120004004
C,0.28370892,0.226668412,0.326816391,0.250220903,0.15608234,0.171346145,-0.055725264,-0.025272119,0.015287389,-0.113909385,-0.089280735,-0.091718765,-0.111649821,0.026134368,0.100506935,0.080337458
D,0.228112938,0.113769044,0.271977611,0.361206172,0.068937536,0.097500317,0.04766636,0.044973007,0.119425267,-0.081671118,0.03857926,-0.057317896,-0.033355717,0.071766852,0.036548488,0.053797647
E,0.164669636,0.273193981,0.162989046,0.066527384,0.417387629,0.393402216,-0.209386555,-0.232025545,-0.183714085,-0.137030149,-0.22416243,-0.037062302,-0.280086152,-0.101058076,0.158428791,0.142277407
F,0.191947092,0.291601679,0.179943296,0.054994513,0.386475882,0.392621212,-0.219226704,-0.229425317,-0.164041194,-0.149270405,-0.223509527,-0.065344179,-0.283610993,-0.098400306,0.161122739,0.146676142
G,-0.046547636,-0.161806682,-0.048775266,0.066748628,-0.202078883,-0.204139142,0.384589782,0.311679241,0.238910514,0.192399331,0.302312278,0.126688879,0.336363964,0.113751052,-0.066927452,-0.070342464
H,-0.032720442,-0.145343172,-0.030393614,0.072406917,-0.199672895,-0.201409594,0.311716899,0.489342433,0.264150414,0.185841471,0.244812615,0.106593903,0.351540533,0.129739158,-0.025611422,-0.046439884
I,0.028826856,-0.109447157,0.021167564,0.137500263,-0.163699697,-0.140898361,0.253803164,0.257780143,0.42003398,0.044236255,0.290525483,0.029336332,0.188055875,0.109837418,-0.094093861,-0.052079427
J,-0.109267489,-0.080751825,-0.089046287,-0.048134522,-0.10574543,-0.115698118,0.164097639,0.166215163,0.024768439,0.571497219,0.138343691,0.23372157,0.332686622,0.044640554,0.002489134,-0.041729216
K,-0.066391095,-0.201999318,-0.080445377,0.049970469,-0.214945039,-0.214550771,0.295691899,0.256435028,0.283757824,0.15375922,0.487004769,0.111368212,0.267704513,0.108844328,-0.10119718,-0.049048588
L,-0.100351387,-0.08491682,-0.098099088,-0.052534987,-0.0507794,-0.07115303,0.105677813,0.10145682,0.033878708,0.241464904,0.120316455,0.297516916,0.149300339,0.012091751,-0.030269497,-0.052814217
M,-0.110788391,-0.172470583,-0.110666017,-0.009144846,-0.248910622,-0.264656836,0.31670863,0.359543994,0.192767118,0.367505617,0.265434391,0.177062428,0.551086871,0.124824332,-0.038918828,-0.093796393
N,0.002152156,-0.058250514,0.021284419,0.059608845,-0.111360918,-0.109579683,0.155622599,0.163209885,0.135403939,0.069713127,0.125519055,0.039615823,0.16520533,0.223629144,-0.045558691,-0.047934591
O,0.096978189,0.137945219,0.102267553,0.039004871,0.158622745,0.160375565,-0.072780505,-0.044526266,-0.129268133,-0.000354562,-0.10663184,-0.010110696,-0.042848399,-0.053244057,0.49593097,0.131203322
P,0.078386008,0.133888801,0.078866049,0.042942623,0.125841197,0.140518623,-0.08415816,-0.0521902,-0.047124225,-0.08508478,-0.061940956,-0.054749402,-0.101132462,-0.051059649,0.119180283,0.315225689
