STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WESD,WESF,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT09,WT01,WT06,WT02,WT08,WT03
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160501,0.00,-9999,-9999,-9999,65,43,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160502,0.00,-9999,-9999,-9999,48,40,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160503,0.00,-9999,-9999,-9999,56,43,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160504,0.00,-9999,-9999,-9999,53,47,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160505,0.00,-9999,-9999,-9999,52,44,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160506,0.00,-9999,-9999,-9999,53,41,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160507,0.35,-9999,-9999,-9999,57,46,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160508,0.22,-9999,-9999,-9999,51,46,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160509,0.02,-9999,-9999,-9999,65,41,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160510,0.00,-9999,-9999,-9999,71,38,38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160511,0.00,-9999,-9999,-9999,68,37,42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160512,0.00,-9999,-9999,-9999,75,42,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160513,0.00,-9999,-9999,-9999,75,45,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160514,0.28,-9999,-9999,-9999,60,48,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160515,0.00,-9999,-9999,-9999,73,47,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160601,0.00,-9999,-9999,-9999,84,56,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160602,0.00,-9999,-9999,-9999,80,56,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160603,0.00,-9999,-9999,-9999,72,58,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160604,0.00,-9999,-9999,-9999,68,59,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160605,0.02,-9999,-9999,-9999,64,63,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160606,0.88,-9999,-9999,-9999,67,63,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160607,0.00,-9999,-9999,-9999,87,63,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160608,0.00,-9999,-9999,-9999,76,57,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160609,0.00,-9999,-9999,-9999,67,53,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160610,1.50,-9999,-9999,-9999,69,46,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160611,0.00,-9999,-9999,-9999,74,45,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160612,0.00,-9999,-9999,-9999,77,57,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160613,0.00,-9999,-9999,-9999,65,53,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160614,0.00,-9999,-9999,-9999,72,53,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160615,0.00,-9999,-9999,-9999,78,54,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160616,0.00,-9999,-9999,-9999,81,62,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160617,0.00,-9999,-9999,-9999,84,62,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160618,0.00,-9999,-9999,-9999,78,58,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160619,0.00,-9999,-9999,-9999,81,62,66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160620,0.00,-9999,-9999,-9999,80,61,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160621,0.00,-9999,-9999,-9999,81,61,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160622,0.00,-9999,-9999,-9999,73,56,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160623,0.00,-9999,-9999,-9999,81,56,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160624,0.00,-9999,-9999,-9999,81,58,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160625,0.00,-9999,-9999,-9999,83,60,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160626,0.00,-9999,-9999,-9999,82,56,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
